Carimbo de data/hora,Nome de quem compartilha,Título da Atividade,Idade Recomendada,Série Escolar,Tipo de Deficiência/Neurodivergência,Descrição da Atividade,Link do Vídeo/Conteúdo
2026-07-01 9:00:00,Profa. Luiza T.,Trilha de Leitura em Blocos,3-5 anos,Educação Infantil,Deficiência Auditiva,Texto dividido em blocos curtos com espaçamento ampliado e fonte adaptada.,https://youtube.com/watch?v=exemplo9
2026-07-02 10:07:00,Profa. Camila R.,Caça-Palavras com Figuras,3-5 anos,Educação Infantil,Deficiência Intelectual,"Jogo de associação entre palavras curtas e imagens, reforçando a leitura de forma lúdica.",https://youtube.com/watch?v=exemplo6
2026-07-03 11:14:00,Profa. Camila R.,Régua de Autorregulação,6-8 anos,1º ano,Síndrome de Down,Escala visual para a criança indicar seu nível de energia/emoção durante a aula.,https://youtube.com/watch?v=exemplo13
2026-07-04 12:21:00,Prof. Henrique B.,Jogo de Rimas Sonoras,12-14 anos,6º ano,Deficiência Física,Atividade de áudio para treinar consciência fonológica de forma lúdica.,https://youtube.com/watch?v=exemplo1
2026-07-05 13:28:00,Prof. Henrique B.,Cronômetro Visual de Tarefas,6-8 anos,3º ano,Deficiência Intelectual,Timer visual em disco colorido que mostra o tempo restante de forma intuitiva.,https://youtube.com/watch?v=exemplo10
2026-07-06 14:35:00,Profa. Fernanda A.,Contação de Histórias em Libras,6-8 anos,2º ano,TDAH,"Vídeo de história infantil narrado simultaneamente em Libras e português, com legendas.",https://youtube.com/watch?v=exemplo7
2026-07-07 15:42:00,Prof. Otávio S.,Caça-Palavras com Figuras,9-11 anos,5º ano,Deficiência Auditiva,"Jogo de associação entre palavras curtas e imagens, reforçando a leitura de forma lúdica.",
2026-07-08 16:49:00,Prof. Henrique B.,Caixa Sensorial de Descoberta,3-5 anos,Educação Infantil,TDAH,Recipiente com grãos e objetos variados para estímulo tátil supervisionado.,
2026-07-09 9:56:00,Profa. Luiza T.,Caça-Palavras com Figuras,6-8 anos,3º ano,TDAH,"Jogo de associação entre palavras curtas e imagens, reforçando a leitura de forma lúdica.",https://youtube.com/watch?v=exemplo19
2026-07-10 10:03:00,Prof. Henrique B.,Jogo de Sequência Lógica,3-5 anos,Educação Infantil,TDAH,"Cartas para ordenar eventos do cotidiano, estimulando raciocínio sequencial e linguagem.",
2026-07-11 11:10:00,Profa. Luiza T.,Livro Sensorial de Texturas,9-11 anos,4º ano,Deficiência Visual,Páginas com materiais variados para estimular exploração tátil e vocabulário descritivo.,https://youtube.com/watch?v=exemplo18
2026-07-12 12:17:00,Equipe AEE Escola Girassol,Trilha de Leitura em Blocos,3-5 anos,Educação Infantil,Síndrome de Down,Texto dividido em blocos curtos com espaçamento ampliado e fonte adaptada.,
2026-07-13 13:24:00,Núcleo de Inclusão Municipal,Trilha de Leitura em Blocos,12-14 anos,7º ano,Síndrome de Down,Texto dividido em blocos curtos com espaçamento ampliado e fonte adaptada.,https://youtube.com/watch?v=exemplo4
2026-07-14 14:31:00,Prof. Henrique B.,Jogo de Sequência Lógica,6-8 anos,1º ano,Deficiência Visual,"Cartas para ordenar eventos do cotidiano, estimulando raciocínio sequencial e linguagem.",https://youtube.com/watch?v=exemplo5
2026-07-15 15:38:00,Prof. Otávio S.,Cartas de Emoções,6-8 anos,3º ano,Deficiência Visual,"Conjunto de cartas ilustradas para nomear e reconhecer emoções, apoiando o desenvolvimento socioemocional.",
2026-07-16 16:45:00,Profa. Luiza T.,Jogo da Memória Tátil,12-14 anos,6º ano,Deficiência Auditiva,Peças com texturas diferentes para trabalhar memória e discriminação tátil.,
2026-07-17 9:52:00,Profa. Luiza T.,Livro Sensorial de Texturas,9-11 anos,5º ano,Deficiência Intelectual,Páginas com materiais variados para estimular exploração tátil e vocabulário descritivo.,https://youtube.com/watch?v=exemplo9
2026-07-18 10:59:00,Equipe AEE Escola Girassol,Massinha Sensorial Terapêutica,12-14 anos,6º ano,TEA (Autismo),Atividade de manipulação de massinha para canalizar energia e melhorar o foco.,https://youtube.com/watch?v=exemplo11
2026-07-19 11:06:00,Profa. Fernanda A.,Jogo de Sequência Lógica,12-14 anos,8º ano,TDAH,"Cartas para ordenar eventos do cotidiano, estimulando raciocínio sequencial e linguagem.",
2026-07-20 12:13:00,Prof. Henrique B.,Caixa Sensorial de Descoberta,9-11 anos,4º ano,TDAH,Recipiente com grãos e objetos variados para estímulo tátil supervisionado.,
2026-07-21 13:20:00,Prof. Otávio S.,Quebra-Cabeça de Números Grandes,3-5 anos,Educação Infantil,Deficiência Intelectual,"Peças grandes e coloridas que associam quantidade e número, facilitando o raciocínio matemático.",https://youtube.com/watch?v=exemplo1
2026-07-22 14:27:00,Prof. Henrique B.,Massinha Sensorial Terapêutica,9-11 anos,4º ano,Síndrome de Down,Atividade de manipulação de massinha para canalizar energia e melhorar o foco.,
2026-07-23 15:34:00,Profa. Renata C.,Quebra-Cabeça de Números Grandes,6-8 anos,1º ano,Deficiência Visual,"Peças grandes e coloridas que associam quantidade e número, facilitando o raciocínio matemático.",
2026-07-24 16:41:00,Prof. Diego M.,Tabuleiro de Rotina Visual,3-5 anos,Educação Infantil,Deficiência Física,"Cartões com pictogramas para organizar a rotina do dia, reduzindo a ansiedade frente a mudanças.",
2026-07-25 9:48:00,Prof. Bruno L.,Trilha de Leitura em Blocos,9-11 anos,4º ano,TEA (Autismo),Texto dividido em blocos curtos com espaçamento ampliado e fonte adaptada.,https://youtube.com/watch?v=exemplo6
2026-07-26 10:55:00,Equipe AEE Escola Girassol,Caixa Sensorial de Descoberta,3-5 anos,Educação Infantil,TDAH,Recipiente com grãos e objetos variados para estímulo tátil supervisionado.,https://youtube.com/watch?v=exemplo9
2026-07-27 11:02:00,Profa. Renata C.,Painel de Comunicação Alternativa (CAA),12-14 anos,8º ano,Dislexia,Prancha com símbolos para apoiar a comunicação de crianças não-verbais.,
2026-07-28 12:09:00,Profa. Fernanda A.,Circuito Motor Adaptado,6-8 anos,3º ano,Discalculia,"Percurso com obstáculos ajustáveis para cadeira de rodas ou andador, trabalhando coordenação.",
